,session_id,hit_date,hit_time,hit_number,hit_type,hit_referer,hit_page_path,event_category,event_action,event_label,event_value
11,4555345648396008371.1640233907.1640233907,2021-12-23,107.0,4,event,trXmoxcphNjuYcShOXwL,sberauto.com/cars/all/nissan/qashqai/bfc21661?rental_page=rental_car&fbclid=iwar32rynt41plrrcjymt9qtcjheepwkwx-m05mmiqf7axkagmropyqj8acpu,card_web,view_card,,
12,5636135307570360848.1640280592.1640280592,2021-12-23,12.0,3,event,,sberauto.com/cars/all/renault/duster/145d53f1?rental_page=rental_car?utm_source=mediatoday,card_web,view_card,,
13,6993187768713388524.1640276467.1640276467,2021-12-23,1186.0,4,event,,sberauto.com/cars/all/porsche/911/f149c91b?rental_page=rental_car#no_mobile&utm_source=facebook&utm_medium=cpc&utm_campaign_initial=SsNBzwDJfUmTkvZdJYwh&fbclid=iwar0dsqqzlig3bw5fxv0hzmz9tiymjv9izo6inphw3oigujosf7g4l1n2yy8,card_web,view_card,,
14,9063469723165129646.1640233902.1640233902,2021-12-23,68.0,3,event,uMnMdxLOIznakHyXLoMC,sberauto.com/cars/all/skoda/rapid/bf24b977?rental_page=rental_car&fbclid=iwar2hhjsuxp5qruhrg5dhfsflc8rj2pxgq5n11xfrdeflcvgecpmf1ungage,card_web,view_card,,
15,9221311837172398962.1640233841.1640233841,2021-12-23,506.0,3,event,trXmoxcphNjuYcShOXwL,sberauto.com/cars/all/skoda/rapid/bf24b977?rental_page=rental_car&fbclid=iwar2jcprsn3mcjxwnbsovyrkdmlbcftd4e_gqgwqsxveruv_nex9yqonpzqy,card_web,view_card,,
16,8279923128365523547.1640276571.1640276571,2021-12-23,1024.0,3,event,uMnMdxLOIznakHyXLoMC,sberauto.com/cars/all/porsche/911/f149c91b?rental_page=rental_car#no_mobile&utm_source=facebook&utm_medium=cpc&utm_campaign_initial=SsNBzwDJfUmTkvZdJYwh&fbclid=iwar1b-jkn1wx7jl_7ci829auvqpbeu19aqvd_awb09j1dwl-f8nwh5vtmgkq,card_web,view_card,,
17,9126144797936188300.1640233869.1640233869,2021-12-23,488.0,3,event,,sberauto.com/cars/all/renault/logan/8c3c73f2?rental_page=rental_car&fbclid=iwar2espo0shirj4geaqcsee7dbjuzoknqaanorlecxyqn4velsmu8ngjol-0,card_web,view_card,,
18,1333511261702627793.1640276433.1640276433,2021-12-23,5618.0,6,event,,sberauto.com/cars/all/porsche/911/f149c91b?rental_page=rental_car#no_mobile&utm_source=facebook&utm_medium=cpc&utm_campaign_initial=OrLYsUIlmiHOxKjBFasy&fbclid=iwar2hndaqwgob03zwpwhyqdb7rnxxlkp97sfjl6xfnsfe0iiq_lwq7-vypla,card_web,view_card,,
19,699466478407410560.1640289549.1640289549,2021-12-23,20.0,6,event,,sberauto.com/cars/all/peugeot/traveller/4c1dd8b7?utm_source_initial=google&utm_medium_initial=cpc&utm_campaign_initial=XHNUiSKKGTEpSAlaVMFQ|IogmZDrCkJeHXbgMnIIv&utm_content_initial=yXzSAJWSuRbYeLFyMVFl|YAMPmNsXaFeZWgexOKLv|xAEYTlJDbQNwQTLGxICQ|AkWQyPNqWZSACoyftGqo|lFpAoUqEvHoyZfCNRuCR|QTkdoNfmEYDQUpBDLlLV|dtYJKUplNmmKCOfiziff|wtdAydPFeYlxHioycsEq|aHSPdWXGkJravzWuwcJA|HbolMJUevblAbkHClEQa|kqZPVvZmXADsCZxIQwbv|QaGunexmXrztCWbLcYxs|OfdDOXSwHYclonQJpPxh|nXdiaMYGuoSkKGqBAgaB|HbolMJUevblAbkHClEQa&utm_term_initial=&rental_page=rental_car,card_web,view_card,,
20,951771360093549217.1640247969.1640247969,2021-12-23,53.0,3,event,,client.saptest.sberauto-team.com/cars/all/mercedes-benz/glb/4273ed1b?rental_page=rental_car,card_web,view_card,,
21,8052362820286977556.1640273512.1640273512,2021-12-23,1032.0,5,event,QDnrErJRERbRmvEHvwWY,sberauto.com/cars/all/bmw/5-serii/eb5698f6?utm_source_initial=telegram&utm_medium_initial=blogger_channel&utm_campaign_initial=foFTSdUvNqqkPzZvgiqt&utm_content_initial=DZYjhfIUfdqhfuTNUmjn&rental_page=rental_car,card_web,view_card,,
22,3117547552978670057.1640217454.1640217454,2021-12-23,65.0,2,event,,sberauto.com/cars/all/skoda/rapid/bf24b977?rental_page=rental_car&fbclid=paaaawyzff1u-yvrmvepst9p6dwicbfehszxj-o9-7nrcfg33xccg3phkxpxg&external_browser_redirect=true,card_web,view_card,,
23,3117547552978670057.1640217454.1640217454,2021-12-23,1032.0,5,event,,sberauto.com/cars/all/skoda/rapid/bf24b977?rental_page=rental_car&fbclid=paaaawyzff1u-yvrmvepst9p6dwicbfehszxj-o9-7nrcfg33xccg3phkxpxg&external_browser_redirect=true,card_web,view_card,,
24,3320172427694312697.1640238331.1640238331,2021-12-23,930.0,7,event,,sberauto.com/cars/all/renault/logan/8c3c73f2?rental_page=rental_car&fbclid=paaabz21desxnoh38nqpmegihzr-mk1ej4vjoki1bk8tgjzrvgc3cwe5gagay&external_browser_redirect=true,card_web,view_card,,
25,7074391959464573938.1640233969.1640233969,2021-12-23,117.0,6,event,trXmoxcphNjuYcShOXwL,sberauto.com/cars/all/skoda/rapid/bf24b977?rental_page=rental_car&fbclid=iwar2suhpg94grco1k0bmco4jzrhihtrvsuyvr4btp5iaodykillxnqdlr5kc,card_web,view_card,,
26,303140863566137965.1640221595.1640221595,2021-12-23,52.0,2,event,,sberauto.com/cars/all/volkswagen/polo/e994838f?utm_source_initial=yandex&utm_medium_initial=cpc&utm_campaign_initial=nSReTmyFtbSjlPrTKoaX|fVHJqnfOFSWcsCBViJGr&utm_content_initial=yXzSAJWSuRbYeLFyMVFl|YjagTPsykUtMSrHgFPJc|xAEYTlJDbQNwQTLGxICQ|dwfnIkMEwJhmnyojmAoc|lFpAoUqEvHoyZfCNRuCR|nCFNEpzHTPkEkHrVLCIO|rjbbNGNkjGThUJNtsWZQ|EWYEpjHvCoEBpaqHZyxI|ZIKCVYXYgRrZdwlVkEEf|HbolMJUevblAbkHClEQa|kqZPVvZmXADsCZxIQwbv|vnTlRpYmthtVDImMLSmr|OfdDOXSwHYclonQJpPxh|igNLAJodDHSgqhPwufun|HbolMJUevblAbkHClEQa&utm_term_initial=&rental_page=rental_car,card_web,view_card,,
27,428566905180426249.1640271881.1640271881,2021-12-23,3349.0,7,event,,sberauto.com/cars/all/nissan/x-trail/0744675f?rental_page=rental_car#utm_source=vkontakte&utm_medium=cpc&utm_campaign=sberautopodpiska_dec21_frk_person_202105000091_img_int_traffic_low_x-trail2,card_web,view_card,,
28,1134415621745059679.1640277868.1640277868,2021-12-23,209.0,2,event,,sberauto.com/cars/all/renault/logan/8c3c73f2?rental_page=rental_car&fbclid=paaaabht6prrigz9pvcaqydvo3qu-ziin94uqyjjplfhif6xjijzfhqyy5ir8&external_browser_redirect=true,card_web,view_card,,
29,2398547126864026107.1640208903.1640208903,2021-12-23,219.0,2,event,,sberauto.com/cars/all/mercedes-benz/e-klasse/d48351ad?rental_page=rental_car&fbclid=iwar0v7mfpm9ct4truzlzkmtxqglanryeltexxbryaofxucfclv-s0qyghmgi_aem_at-3nmppzs2s_i_5yyd4zazlofwlrtiykchvw9qyxf5anggbdachpp07vi-ikeis1jihdzd4b2lo-63uczn8kee724s2x-5qcmt0izszbt6kjwleli1bp42khtiufpjf30m,card_web,view_card,,
30,2780191474040742626.1640276710.1640276710,2021-12-23,2200.0,7,event,,sberauto.com/cars/all/renault/logan/8c3c73f2?rental_page=rental_car&fbclid=paaabq7dlkkjg5x0jz795h5bplj9ghjabqrq3vtszxjezjg3z7dmzh3_f2sd8&external_browser_redirect=true,card_web,view_card,,
31,3282323002617677961.1640266499.1640266499,2021-12-23,252.0,4,event,,sberauto.com/cars/all/lada-vaz/vesta/2fc745ed?rental_page=rental_car&fbclid=paaazbrlfggvkdgladdqukxuklgnbvaod7cjnx_f8bkiacufv07qollefabis,card_web,view_card,,
32,3282323002617677961.1640266499.1640266499,2021-12-23,677.0,7,event,,sberauto.com/cars/all/lada-vaz/vesta/2fc745ed?rental_page=rental_car&fbclid=paaazbrlfggvkdgladdqukxuklgnbvaod7cjnx_f8bkiacufv07qollefabis,card_web,view_card,,
33,3510833950178461152.1640285664.1640285664,2021-12-23,98.0,2,event,,sberauto.com/cars/all/volkswagen/polo/e994838f?rental_page=rental_car+&fbclid=paaaynlophyjs2ghiqpmhi1xn-txemptqgdq_tc2f31cr75iwt2k6esspmcey&external_browser_redirect=true,card_web,view_card,,
34,5660494519526161065.1640262729.1640262729,2021-12-23,2801.0,5,event,,sberauto.com/cars/all/mercedes-benz/s-klasse/7a3f9330?utm_source_initial=sbol&utm_medium_initial=banner&utm_campaign_initial=SgIUDYUKnyWHVowUOqid&rental_page=rental_car,card_web,view_card,,
35,7297963608724757734.1640258793.1640258793,2021-12-23,2886.0,5,event,,sberauto.com/cars/all/mercedes-benz/e-klasse/d48351ad?rental_page=rental_car,card_web,view_card,,
36,9067439204954546753.1640243777.1640243777,2021-12-23,830.0,5,event,,sberauto.com/cars/all/porsche/cayenne/6f690f60?rental_page=rental_car#utm_source=google&utm_medium=cpc&utm_campaign_initial=RzLAoRYmCtVATSoPvWAQ|rpXJcKibLtmQWKejaehw&utm_content_initial=yXzSAJWSuRbYeLFyMVFl|wbYDXcjzHrBaiBceUCPK|xAEYTlJDbQNwQTLGxICQ|lFpAoUqEvHoyZfCNRuCR|dtYJKUplNmmKCOfiziff|aHSPdWXGkJravzWuwcJA|HbolMJUevblAbkHClEQa|kqZPVvZmXADsCZxIQwbv|QaGunexmXrztCWbLcYxs|OfdDOXSwHYclonQJpPxh|VghAmCgWGvFwYHZnFmXi|HbolMJUevblAbkHClEQa&utm_term=Р°СЂРµРЅРґР° РїРѕСЂС€Рµ РІ РјРѕСЃРєРІРµ,card_web,view_card,,
37,543823456375193331.1640283824.1640283824,2021-12-23,1260.0,5,event,,sberauto.com/cars/all/skoda/rapid/bf24b977?rental_page=rental_car&fbclid=paaabgvcfn48qiwlyumssyxg09oi5qifyurmp6zigl9rtr6vd1dlh-dhh2r1m&external_browser_redirect=true,card_web,view_card,,
38,562366956183957396.1640246520.1640246520,2021-12-23,335.0,3,event,,sberauto.com/cars/all/mini/hatch/b82590a3?rental_page=rental_car,card_web,view_card,,
39,562366956183957396.1640246520.1640246520,2021-12-23,724.0,7,event,,sberauto.com/cars/all/mini/hatch/b82590a3?rental_page=rental_car,card_web,view_card,,
40,603010644039738165.1640276791.1640276791,2021-12-23,246.0,3,event,,sberauto.com/cars/all/renault/logan/8c3c73f2?rental_page=rental_car&fbclid=paaaz5geccq7emitr8uxgceqjgjgc37wt_m0euxxmmph-vwt2sjq_jshbvbsy&external_browser_redirect=true,card_web,view_card,,
41,628849304731384746.1640233987.1640233987,2021-12-23,972.0,3,event,trXmoxcphNjuYcShOXwL,sberauto.com/cars/all/skoda/rapid/bf24b977?rental_page=rental_car&fbclid=iwar3cka13gdb0tyx-8d3tsa2n55xszpyaxtemzgvnodvsqdosnomzvanhbus,card_web,view_card,,
42,628849304731384746.1640233987.1640233987,2021-12-23,1090.0,5,event,trXmoxcphNjuYcShOXwL,sberauto.com/cars/all/skoda/rapid/bf24b977?rental_page=rental_car&fbclid=iwar3cka13gdb0tyx-8d3tsa2n55xszpyaxtemzgvnodvsqdosnomzvanhbus,card_web,view_card,,
